number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
25,0.7374792829981128,2025-12-26 18:54:50.536463,2025-12-26 18:54:55.917138,0 days 00:00:05.380675,0.8894761766324607,0.6652753960899844,0.8953568154827398,0.6156042616668629,0.010206488164088286,1,4,3,318,0.518877323602692,1.0209961350259464,1.4620668039815992,0.6901694469148038,COMPLETE
26,0.7335454032054268,2025-12-26 18:54:55.923137,2025-12-26 18:55:00.679470,0 days 00:00:04.756333,0.8401727407838744,0.807922122308906,0.8894185891893094,0.6031895836447682,0.030026812871558527,1,4,3,308,1.0649513901427252,1.0139300275472103,1.2908138167756318,0.7179839610111552,COMPLETE
27,0.7381382950282411,2025-12-26 18:55:00.683717,2025-12-26 18:55:04.596849,0 days 00:00:03.913132,0.7218751685805632,0.6691579168827133,0.8729428551391943,0.598183476727562,0.024726549367846982,1,4,3,251,0.5712025271216405,0.84256842075053,1.4493495125577986,0.6839972925810913,COMPLETE
28,0.7341226764444723,2025-12-26 18:55:04.600848,2025-12-26 18:55:09.132671,0 days 00:00:04.531823,0.7265075948256946,0.6030392522411703,0.8600238371553809,0.6865587876618766,0.02602539968405534,2,5,3,256,1.0074272786851701,0.7533878877592414,1.3042766501231426,0.71759390025095,COMPLETE
29,0.737108200557791,2025-12-26 18:55:09.136707,2025-12-26 18:55:12.697337,0 days 00:00:03.560630,0.7730847521669033,0.746102345867136,0.8745894292925918,0.5790957897592363,0.06534281174557155,1,4,2,234,1.22244149473991,0.6390695243768718,1.4330188961000812,0.677885380099408,COMPLETE
30,0.7377696633931653,2025-12-26 18:55:12.700259,2025-12-26 18:55:19.311699,0 days 00:00:06.611440,0.7341078205075161,0.8476659414542602,0.781157505098679,0.4633229099361329,0.033684165538373785,5,6,3,380,0.6655912744366684,1.5818640279512284,1.4556104767362856,0.7362771615352376,COMPLETE
31,0.7366942831335972,2025-12-26 18:55:19.316726,2025-12-26 18:55:26.622878,0 days 00:00:07.306152,0.7343433608689222,0.8508573585837365,0.777174533511485,0.4766613540032814,0.0329423633489953,5,6,3,388,0.6471110768126724,0.9646546687008329,1.4587972045909312,0.6360615082775152,COMPLETE
32,0.7380561962457406,2025-12-26 18:55:26.627100,2025-12-26 18:55:33.635249,0 days 00:00:07.008149,0.7339196288460514,0.8336058001563537,0.8014271460090162,0.5640675996342426,0.023538407245633566,5,6,2,368,0.9082226913409659,1.6420283604828467,1.4922571762766634,0.7398324258445316,COMPLETE
33,0.7355294478375479,2025-12-26 18:55:33.639253,2025-12-26 18:55:40.901533,0 days 00:00:07.262280,0.7321476127151652,0.8255684634938109,0.8116695540237274,0.46345333874005695,0.061173093156851446,5,5,2,488,0.43881241945128213,1.610777185255793,1.4982288799366812,0.7376805827828495,COMPLETE
34,0.7362365450632503,2025-12-26 18:55:40.905460,2025-12-26 18:55:48.056333,0 days 00:00:07.150873,0.7204972933572056,0.7902038977721164,0.776936561466921,0.5890487494433917,0.024612780859218357,4,6,4,407,0.6709266874444523,1.5095608867011778,1.3730196769573437,0.7346799088477025,COMPLETE
35,0.7353528008914835,2025-12-26 18:55:48.060646,2025-12-26 18:55:53.993386,0 days 00:00:05.932740,0.745701520516604,0.8399335215681106,0.8307322770723123,0.38575305115258507,0.03490671682081981,4,5,3,374,0.845749357200155,1.8621203065939462,1.3362711726750989,0.7179380822205833,COMPLETE
36,0.7357924097248869,2025-12-26 18:55:53.996384,2025-12-26 18:55:58.767047,0 days 00:00:04.770663,0.7880003308749276,0.892949047466792,0.7944169735812854,0.7720976626420513,0.05305663733264075,5,3,5,355,0.6794086582956957,1.3415523439577792,1.4067049168600094,0.7722474252303538,COMPLETE
37,0.738411381644575,2025-12-26 18:55:58.772047,2025-12-26 18:56:06.715196,0 days 00:00:07.943149,0.6929948659987228,0.80711230923841,0.7360037478594464,0.6679875094934783,0.016964438093341666,4,4,2,533,0.580815888836344,1.932129764401077,1.4958967590790637,0.708364054768036,COMPLETE
38,0.7381616239780981,2025-12-26 18:56:06.720183,2025-12-26 18:56:14.430006,0 days 00:00:07.709823,0.6886912517403035,0.7454578267842518,0.7322079449263701,0.6581102049369899,0.016637499893118485,4,4,2,527,0.31759234624746424,1.9707005219828657,1.4918608590159603,0.6777440784856815,COMPLETE
39,0.7373530839460818,2025-12-26 18:56:14.434246,2025-12-26 18:56:22.091025,0 days 00:00:07.656779,0.6924800246549999,0.7455993364564801,0.7129305253019746,0.7394383849493613,0.016015081151066205,4,4,2,542,0.34310621734702584,1.9183487567057416,1.4202437926602989,0.6792601557747694,COMPLETE
